act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3608
 від 09.01.18","м. Кропивницький вул. Генерала Родимцева, 94 (за будинком)",48.4972704,32.3071419,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 15-20 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Генерала Родимцева, 94"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",48.4941379,32.218763,КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя діам. 30-35 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.494176,32.2187183,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,5,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",48.4941946,32.2187334,КП «ЖЕО № 4» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Пацаєва, 12, корп. 2",48.4955177,32.21780,КП «ЖЕО № 4» Міської ради міста Кропивницького,акація діам. 65-70 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Пацаєва, 12, корп. 2"
"№ 3610
 від 09.01.18",м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної,48.51161320000080,32.2683721,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної
"№ 3611
 від 09.01.18","м. Кропивницький вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",48.5079330000025,32.262468,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 75-80 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Миколи Левитського
"№ 3611
 від 09.01.18",м. Кропивницький просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),48.50793300000120,32.262619,КП «Благоустрій» Міської ради міста Кропивницького»,тополя діам. 65-70 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький просп. Винниченка
"№ 3612
 від 09.01.18",м. Кропивницький вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),48.50793300000211,32.262637,КП «Благоустрій» Міської ради міста Кропивницького»,берест діам. 60-65 см,1,№ 345-в від 20.01.18,20.01.18,True,№ 345-в,20.01.18,м. Кропивницький вул. Михайлівська
"№ 3613
 від 09.01.18",м. Кропивницький вул. Петропавлівська (уздовж дороги біля будинку № 5),48.5047651,32.2804212,гр. Сирота О.М.,акація діам. 70-75 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Петропавлівська
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292446,32.2454561,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,12,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292990,32.2454822,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,14,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292102,32.2454650,ГУ ЖКГ Міської ради міста Кропивницького,верба плакуча діам. 50-60 см,3,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292739,32.2454741,ГУ ЖКГ Міської ради міста Кропивницького,тополя пірамідальна діам. 60-70 см,3,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3615
 від 09.01.18","м. Кропивницький вул. Вокзальна, 39-ф",48.5165863,32.2524305,ПП «Босфор-Люкс»,тополя діам. 70-75 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Вокзальна, 39-ф"
"№ 3616
 від 18.01.18","м. Кропивницький вул. Юрія Краснокутського, 1-а",48.53963,32.2614884,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Юрія Краснокутського, 1-а"
"№ 3616
 від 18.01.18","м. Кропивницький вул. Юрія Краснокутського, 1-а",48.539208,32.2614330,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Юрія Краснокутського, 1-а"
"№ 3617
 від 18.01.18","м. Кропивницький вул. Будівельників, 1-а",48.5615353,32.2417694,КП «ЖЕО № 1» Міської ради міста Кропивницького,сосна діам. 30-35 см,1,№ 345-в від 20.01.18,20.01.18,True,№ 345-в,20.01.18,"м. Кропивницький вул. Будівельників, 1-а"
"№ 3618
 від 18.01.18","м. Кропивницький вул. Варшавська, 2-б (між під. № 5 та № 6)",48.50793300000210,32.262540,КП «ЖЕО № 1» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Варшавська, 2-б"
"№ 3619
 від 18.01.18",м. Кропивницький вул. Декабристів (у дворі будинків № 23-а та 23-б),48.51105459999266,32.262837,КП «ЖЕО № 1» Міської ради міста Кропивницького,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,м. Кропивницький вул. Декабристів
"№ 3620
 від 18.01.18","м. Кропивницький вул. Кропивницького, 80 (позаду під'їзду № 1)",48.50793300000114,32.262375,КП «ЖЕО № 2» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,16.02.18,True,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Кропивницького, 80"
"№ 3621
 від 18.01.18","м. Кропивницький вул. Євгена Тельнова, 2, корп. 2 (навпроти під'їзду № 3)",48.5018751,32.234766,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 20-30 см,8,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 2, корп. 2"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999292,32.2226812,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999327,32.2226221,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 85-90 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999589,32.222622,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999296,32.2234295,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 10-15 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999985,32.2234530,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 20-25 см,3,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999791,32.2234614,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 60-65 см,2,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3624
 від 18.01.18","м. Кропивницький вул. Бєляєва,7, корп. 3 (за будинком)",48.51033579999920,32.227513800000161,КП «ЖЕО № 3» Міської ради міста Кропивницького,береза діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Бєляєва,7, корп. 3"
"№ 3625
 від 18.01.18","м. Кропивницький вул. Олексія Волохова,9/1 (у дворі біля дитячого майданчика)",48.50793300000762,32.262426,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 15-20 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Олексія Волохова,9/1"
"№ 3626
 від 18.01.18","м. Кропивницький просп. Перемоги, 14 (за будинком)",48.5198986,32.2514592,ОСББ «Перемоги 14-Ковалівка»,вишня діам. 10-15 см,7,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький просп. Перемоги, 14"
