act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3608
 від 09.01.18","м. Кропивницький вул. Генерала Родимцева, 94 (за будинком)",48.4972256,32.307138,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен діам. 15-20 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Генерала Родимцева, 94"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 3)",48.4941683,32.2187891,КП «ЖЕО № 4» Міської ради міста Кропивницького,тополя діам. 30-35 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (позаду під'їзду № 5 та № 6)",48.4941173,32.2187124,КП «ЖЕО № 4» Міської ради міста Кропивницького,вишня діам. 20-25 см,5,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Героїв України, 12, корп. 5 (з боку під'їзду № 6)",48.4941612,32.2187452,КП «ЖЕО № 4» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Героїв України, 12, корп. 5"
"№ 3609
 від 09.01.18","м. Кропивницький вул. Пацаєва, 12, корп. 2",48.495779,32.21161,КП «ЖЕО № 4» Міської ради міста Кропивницького,акація діам. 65-70 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Пацаєва, 12, корп. 2"
"№ 3610
 від 09.01.18",м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної,48.511613200000211,32.268137,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,м. Кропивницький на перехресті вулиць Верхньої Биковської та Великої Перспективної
"№ 3611
 від 09.01.18","м. Кропивницький вул. Миколи Левитського (між будинками
 № 1-а та № 1/49)",48.50793300000187,32.262941,КП «Благоустрій» Міської ради міста Кропивницького»,акація діам. 75-80 см,1,№ 933/03-01-06 від 06.04.18,,0,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Миколи Левитського
"№ 3611
 від 09.01.18",м. Кропивницький просп. Винниченка (уздовж дороги між будинками № 32 та кафе «Старий круг»),48.50793300000461,32.262841,КП «Благоустрій» Міської ради міста Кропивницького»,тополя діам. 65-70 см,1,№ 933/03-01-06 від 06.04.18,,0,№ 933/03-01-06,06.04.18,м. Кропивницький просп. Винниченка
"№ 3612
 від 09.01.18",м. Кропивницький вул. Михайлівська (біля обласного центру планування сім'ї та репродукції людини),48.50793300000597,32.262668,КП «Благоустрій» Міської ради міста Кропивницького»,берест діам. 60-65 см,1,№ 345-в від 20.01.18,"№ 11, 2018",1,№ 345-в,20.01.18,м. Кропивницький вул. Михайлівська
"№ 3613
 від 09.01.18",м. Кропивницький вул. Петропавлівська (уздовж дороги біля будинку № 5),48.5047480,32.2804264,гр. Сирота О.М.,акація діам. 70-75 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,м. Кропивницький вул. Петропавлівська
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292626,32.2454798,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 10-20 см,12,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292942,32.2454336,ГУ ЖКГ Міської ради міста Кропивницького,клен діам. 30-60 см,14,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292613,32.245747,ГУ ЖКГ Міської ради міста Кропивницького,верба плакуча діам. 50-60 см,3,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3614
 від 09.01.18","м. Кропивницький вздовж русла річки Інгул (від мосту по вул. Київській до гідротехнічної споруди
 КП «Теплоенергетик»",48.5292453,32.2454184,ГУ ЖКГ Міської ради міста Кропивницького,тополя пірамідальна діам. 60-70 см,3,,,0,,,м. Кропивницький вздовж русла річки Інгул
"№ 3615
 від 09.01.18","м. Кропивницький вул. Вокзальна, 39-ф",48.5165522,32.2524754,ПП «Босфор-Люкс»,тополя діам. 70-75 см,1,,,0,,,"м. Кропивницький вул. Вокзальна, 39-ф"
"№ 3616
 від 18.01.18","м. Кропивницький вул. Юрія Краснокутського, 1-а",48.539425,32.2614262,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Юрія Краснокутського, 1-а"
"№ 3616
 від 18.01.18","м. Кропивницький вул. Юрія Краснокутського, 1-а",48.539987,32.2614101,КП «ЖЕО № 1» Міської ради міста Кропивницького,клен діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Юрія Краснокутського, 1-а"
"№ 3617
 від 18.01.18","м. Кропивницький вул. Будівельників, 1-а",48.5615724,32.2417143,КП «ЖЕО № 1» Міської ради міста Кропивницького,сосна діам. 30-35 см,1,№ 345-в від 20.01.18,"№ 11, 2018",1,№ 345-в,20.01.18,"м. Кропивницький вул. Будівельників, 1-а"
"№ 3618
 від 18.01.18","м. Кропивницький вул. Варшавська, 2-б (між під. № 5 та № 6)",48.5079330000762,32.26137,КП «ЖЕО № 1» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Варшавська, 2-б"
"№ 3619
 від 18.01.18",м. Кропивницький вул. Декабристів (у дворі будинків № 23-а та 23-б),48.51105459999644,32.2628874,КП «ЖЕО № 1» Міської ради міста Кропивницького,акація діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,"№ 29, 2018",1,№ 818/03-01-06,26.03.18,м. Кропивницький вул. Декабристів
"№ 3620
 від 18.01.18","м. Кропивницький вул. Кропивницького, 80 (позаду під'їзду № 1)",48.50793300000842,32.26545,КП «ЖЕО № 2» Міської ради міста Кропивницького,абрикос діам. 20-25 см,1,№ 328/03-01-06 від 16.02.18,,0,№ 328/03-01-06,16.02.18,"м. Кропивницький вул. Кропивницького, 80"
"№ 3621
 від 18.01.18","м. Кропивницький вул. Євгена Тельнова, 2, корп. 2 (навпроти під'їзду № 3)",48.5018617,32.234826,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 20-30 см,8,,,0,,,"м. Кропивницький вул. Євгена Тельнова, 2, корп. 2"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999595,32.2226500,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 35-40 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999186,32.2226129,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 85-90 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3622
 від 18.01.18","м. Кропивницький вул. Волкова, 20, корп. 1",48.50509419999348,32.2226669,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 25-30 см,1,№ 818/03-01-06 від 26.03.18,"№ 20, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Волкова, 20, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999640,32.2234413,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 10-15 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999746,32.2234426,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня діам. 20-25 см,3,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3623
 від 18.01.18","м. Кропивницький вул. Волкова, 14, корп. 1",48.50765879999840,32.2234874,КП «ЖЕО № 3» Міської ради міста Кропивницького,тополя діам. 60-65 см,2,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Волкова, 14, корп. 1"
"№ 3624
 від 18.01.18","м. Кропивницький вул. Бєляєва,7, корп. 3 (за будинком)",48.51033579999518,32.227513800000643,КП «ЖЕО № 3» Міської ради міста Кропивницького,береза діам. 30-35 см,1,№ 818/03-01-06 від 26.03.18,"№ 18, 2018",1,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Бєляєва,7, корп. 3"
"№ 3625
 від 18.01.18","м. Кропивницький вул. Олексія Волохова,9/1 (у дворі біля дитячого майданчика)",48.5079330000622,32.262415,КП «ЖЕО № 3» Міської ради міста Кропивницького,горіх діам. 15-20 см,1,№ 933/03-01-06 від 06.04.18,"№ 20, 2018",1,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Олексія Волохова,9/1"
"№ 3626
 від 18.01.18","м. Кропивницький просп. Перемоги, 14 (за будинком)",48.5198134,32.2514182,ОСББ «Перемоги 14-Ковалівка»,вишня діам. 10-15 см,7,,,0,,,"м. Кропивницький просп. Перемоги, 14"
"№ 3626
 від 18.01.18","м. Кропивницький просп. Перемоги, 14 (за будинком)",48.5198108,32.2514690,ОСББ «Перемоги 14-Ковалівка»,слива діам. 10-15 см,1,,,0,,,"м. Кропивницький просп. Перемоги, 14"
"№ 3627
 від 18.01.18","м. Кропивницький пров. Кінний, 3 (на території закладу)",48.50793300000399,32.262238,ДНЗ № 73 «Червона квіточка»,груша діам. 15-20 см,1,,,0,,,"м. Кропивницький пров. Кінний, 3"
